variant,variant_slug,sa_variant,budget_mb,seed,final_cost_proportion,runtime_seconds,result_path
Full,full,full,500,1,92.781000,0.619000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b500_s1_timetamps_1773295296/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,500,1,92.779000,0.396000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b500_s1_timetamps_1773295831/comparison_results.json
Full,full,full,500,2,92.781000,0.626000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b500_s2_timetamps_1773296354/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,500,2,92.828000,0.396000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b500_s2_timetamps_1773296870/comparison_results.json
Full,full,full,500,3,92.812000,0.643000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b500_s3_timetamps_1773297375/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,500,3,92.833000,0.370000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b500_s3_timetamps_1773297883/comparison_results.json
Full,full,full,1000,1,82.150000,0.897000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b1000_s1_timetamps_1773298390/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,1000,1,83.361000,0.450000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b1000_s1_timetamps_1773298906/comparison_results.json
Full,full,full,1000,2,82.646000,0.856000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b1000_s2_timetamps_1773299426/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,1000,2,84.185000,0.445000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b1000_s2_timetamps_1773299943/comparison_results.json
Full,full,full,1000,3,82.587000,0.831000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b1000_s3_timetamps_1773300447/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,1000,3,83.696000,0.449000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b1000_s3_timetamps_1773300957/comparison_results.json
Full,full,full,1500,1,72.017000,0.721000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b1500_s1_timetamps_1773301470/comparison_results.json
